Name,Age,Team,Year,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,RAR,WAR,IL
Corey Seager,28,TEX,22,151,663,593,91,145,24,1,33,83,3,0,58,103,.245,.317,.455,.772,270,41,4.1,0
Kris Bryant,30,COL,22,42,181,160,28,49,12,0,5,14,0,0,17,27,.306,.376,.475,.851,76,4,0.4,124
Marcus Semien,31,TEX,22,161,724,657,101,163,31,5,26,83,25,8,53,120,.248,.304,.429,.733,282,0,0,0
Freddie Freeman,32,LAD,22,159,708,612,117,199,47,2,21,100,13,3,84,102,.325,.407,.511,.918,313,58,5.9,0
Trevor Story,29,BOS,22,94,396,357,53,85,22,0,16,66,13,0,32,122,.238,.303,.434,.737,155,25,2.5,60
Javier Baez,29,DET,22,144,590,555,64,132,27,4,17,67,9,2,26,147,.238,.278,.393,.671,218,26,2.6,12
Carlos Correa,27,MIN,22,136,590,522,70,152,24,1,22,64,0,1,61,121,.291,.366,.467,.834,244,53,5.4,18
Nick Castellanos,30,PHI,22,136,558,524,56,138,27,0,13,62,7,1,29,130,.263,.305,.389,.694,204,0,-0.1,24
Kyle Schwarber,29,PHI,22,155,669,577,100,126,21,3,46,94,10,1,86,200,.218,.323,.504,.827,291,22,2.2,0
Starling Marte,33,NYM,22,118,505,466,76,136,24,5,16,63,18,9,26,97,.292,.347,.468,.814,218,37,3.8,26
Avisail Garcia,31,MIA,22,98,380,357,31,80,9,0,8,35,4,0,17,109,.224,.266,.317,.582,113,-9,-1.1,55
Jorge Soler,30,MIA,22,72,306,270,32,56,13,0,13,34,0,2,31,90,.207,.295,.400,.695,108,5,0.4,90
Mark Canha,33,NYM,22,140,542,462,71,123,24,0,13,61,3,1,48,97,.266,.367,.403,.770,186,0,0,6
Eduardo Escobar,33,NYM,22,136,542,495,58,119,26,4,20,69,0,2,40,129,.240,.295,.430,.726,213,12,1.2,11
Nelson Cruz,41,WSN,22,124,507,448,50,105,16,0,10,64,4,0,49,119,.234,.313,.337,.651,151,3,0.2,0
Yan Gomes,34,CHC,22,86,293,277,23,65,12,0,8,31,2,0,8,47,.235,.260,.365,.625,101,8,0.8,17
Brad Miller,32,TEX,22,81,241,222,20,47,3,0,7,32,4,2,18,70,.212,.270,.320,.590,71,-14,-1.6,55
Andrew McCutchen,35,MIL,22,134,580,515,66,122,25,0,17,69,8,6,57,124,.237,.316,.384,.700,198,12,1.1,14
Manny Pina,35,ATL,22,5,17,14,1,2,0,0,0,2,0,0,1,1,.143,.235,.143,.378,2,16,1.5,165
Tommy Pham,34,TOT,22,144,622,554,89,131,23,1,17,63,8,3,56,167,.236,.312,.374,.686,207,6,0.4,0
Joc Pederson,30,SFG,22,134,433,380,57,104,19,3,23,70,3,2,42,100,.274,.353,.521,.874,198,13,1.3,9
Josh Harrison,34,CHW,22,119,425,386,50,99,19,2,7,27,2,1,21,71,.256,.317,.370,.687,143,17,1.6,0
Kole Calhoun,34,TEX,22,125,424,388,36,76,14,1,12,49,3,2,27,136,.196,.257,.330,.587,128,-12,-1.5,18
Corey Dickerson,33,STL,22,96,297,281,28,75,17,1,6,36,0,0,12,48,.267,.300,.399,.698,112,2,0.1,35
José Iglesias,32,COL,22,118,467,439,48,128,30,0,3,47,2,3,17,56,.292,.328,.380,.708,167,12,1.2,23
Roberto Perez,33,PIT,22,21,69,60,8,14,2,0,2,8,0,0,9,25,.233,.333,.367,.700,22,5,0.6,152
Donovan Solano,34,CIN,22,80,304,278,22,79,16,0,4,24,0,0,19,61,.284,.339,.385,.724,107,9,0.8,79
Andrelton Simmons,32,CHC,22,34,85,75,8,13,1,0,0,7,4,0,7,13,.173,.244,.187,.431,14,0,-0.1,66
Cesar Hernandez,32,WSN,22,147,617,560,64,139,28,4,1,34,10,4,45,114,.248,.311,.318,.629,178,8,0.7,0
Albert Pujols,42,STL,22,109,351,307,42,83,14,0,24,68,1,2,28,55,.270,.345,.550,.895,169,22,2.2,0
Niko Goodrum,30,HOU,22,15,45,43,2,5,2,0,0,1,1,0,2,23,.116,.156,.163,.318,7,-2,-0.3,0
Matt Carpenter,36,NYY,22,47,154,128,28,39,9,0,15,37,0,0,19,35,.305,.412,.727,1.138,93,35,3.5,58
Pedro Severino,28,MIL,22,8,21,18,0,4,2,0,0,1,0,0,3,7,.222,.333,.333,.667,6,1,0,0
Hanser Alberto,29,LAD,22,73,159,156,13,38,9,2,2,15,0,1,3,25,.244,.258,.365,.623,57,0,-0.1,0
Matt Duffy,31,LAA,22,77,247,228,14,57,8,0,2,16,0,0,17,50,.250,.308,.311,.619,71,0,0,47
Ehire Adrianza,32,TOT,22,37,110,97,8,17,3,0,0,7,1,0,11,25,.175,.264,.206,.470,20,-4,-0.5,82
Jackson Frazier,27,CHC,22,19,45,37,4,8,3,0,0,1,1,0,7,11,.216,.356,.297,.653,11,1,0.1,37
Johan Camargo,28,PHI,22,52,166,152,8,36,3,0,3,15,0,0,13,37,.237,.297,.316,.613,48,1,0.1,36
Jake Marisnick,31,PIT,22,31,82,77,9,18,6,0,2,6,2,1,4,24,.234,.272,.390,.661,30,2,0.2,76
Colin Moran*,29,CIN,22,42,128,109,11,23,3,0,5,23,0,0,16,30,.211,.305,.376,.681,41,-3,-0.3,0
Alex Dickerson*,32,ATL,22,13,36,33,3,4,0,0,1,2,0,0,3,9,.121,.194,.212,.407,7,-4,-0.4,0
Daniel Vogelbach*,29,TOT,22,130,461,386,47,92,19,1,18,59,0,0,73,114,.238,.360,.433,.793,167,14,1.4,11
Tim Locastro,29,NYY,22,38,46,43,13,8,1,0,2,4,8,2,2,7,.186,.239,.349,.588,15,-2,-0.2,28
Robinson Chirinos,38,BAL,22,67,220,195,10,35,9,0,4,22,1,0,19,67,.179,.265,.287,.552,56,1,0,0
Luke Maile,31,CLE,22,76,206,181,19,40,10,0,3,17,0,0,19,54,.221,.301,.326,.627,59,3,0.3,22
Stephen Vogt*,37,OAK,22,70,191,168,18,27,4,1,7,23,1,0,17,46,.161,.241,.321,.562,54,-5,-0.6,48
Andrew Knapp,30,TOT,22,16,46,39,4,5,1,0,0,4,0,0,5,12,.128,.239,.154,.393,6,-2,-0.2,0
Justin Upton,34,SEA,22,17,57,48,2,6,1,0,1,3,0,0,6,23,.125,.263,.208,.471,10,-3,-0.3,0
Rougned Odor*,28,BAL,22,135,472,426,49,88,19,3,13,53,6,1,32,109,.207,.275,.357,.632,152,-2,-0.4,0
Jonathan Villar,31,TOT,22,59,220,202,25,42,6,2,3,18,7,0,15,59,.208,.260,.302,.562,61,-11,-1.2,12
TOTAL,,,,4321,16198,14557,1847,3577,688,46,491,1853,184,60,1310,3568,,,,,5830,401,37.7,1516
AVERAGE,,,,86.42,323.96,291.14,36.94,71.54,13.76,0.92,9.82,37.06,3.68,1.2,26.2,71.36,,,,,116.6,8.02,0.754,30.32